node_id,mass_mev,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,phase_rad,spin_vorticity
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,1.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.5
2,1.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.5
3,1.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5
4,1.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.5
5,1.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.5
6,1.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.5
7,1.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.5
8,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
9,1.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.5
10,1.0,500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.5
11,1.0,500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5
12,1.0,500.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.5
13,1.0,500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.5
14,1.0,500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.5
15,1.0,500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.5
16,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
17,1.0,1000.0,500.0,0.0,0.0,0.0,0.0,0.0,0.5
18,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.5
19,1.0,1000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5
20,1.0,1000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.5
21,1.0,1000.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.5
22,1.0,1000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.5
23,1.0,1000.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.5
24,1.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
25,1.0,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.5
26,1.0,1500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.5
27,1.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5
28,1.0,1500.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.5
29,1.0,1500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.5
30,1.0,1500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.5
31,1.0,1500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.5
32,1.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
33,1.0,2000.0,500.0,0.0,0.0,0.0,0.0,0.0,0.5
34,1.0,2000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.5
35,1.0,2000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5
36,1.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.5
37,1.0,2000.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.5
38,1.0,2000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.5
39,1.0,2000.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.5
40,1.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
41,1.0,2500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.5
42,1.0,2500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.5
43,1.0,2500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5
44,1.0,2500.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.5
45,1.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.5
46,1.0,2500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.5
47,1.0,2500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.5
48,1.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
49,1.0,3000.0,500.0,0.0,0.0,0.0,0.0,0.0,0.5
50,1.0,3000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.5
51,1.0,3000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5
52,1.0,3000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.5
53,1.0,3000.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.5
54,1.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.5
55,1.0,3000.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.5
56,1.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
57,1.0,3500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.5
58,1.0,3500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.5
59,1.0,3500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.5
60,1.0,3500.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.5
61,1.0,3500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.5
62,1.0,3500.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.5
63,1.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.5
