node_id,mass_mev,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,phase_rad,spin_vorticity
0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,3.9265996674645964,0.5
1,1.0,680.0,0.0,0.0,0.1,0.0,0.0,5.4992008062614355,0.5
2,1.0,1360.0,0.0,0.0,0.1,0.0,0.0,1.674797373642722,0.5
3,1.0,2040.0,0.0,0.0,0.1,0.0,0.0,5.477137027007297,0.5
4,1.0,2720.0,0.0,0.0,0.1,0.0,0.0,0.14896760455640676,0.5
5,1.0,3400.0,0.0,0.0,0.1,0.0,0.0,5.2174939137597995,0.5
6,1.0,4080.0,0.0,0.0,0.1,0.0,0.0,1.3872153517248842,0.5
7,1.0,4760.0,0.0,0.0,0.1,0.0,0.0,1.550633041832723,0.5
8,1.0,5440.0,0.0,0.0,0.1,0.0,0.0,0.0014011645850624253,0.5
9,1.0,6120.0,0.0,0.0,0.1,0.0,0.0,1.8574494601012583,0.5
10,1.0,6800.0,0.0,0.0,0.1,0.0,0.0,6.158767952322041,0.5
11,1.0,7480.0,0.0,0.0,0.1,0.0,0.0,6.043494499084095,0.5
12,1.0,8160.0,0.0,0.0,0.1,0.0,0.0,4.526029102433575,0.5
13,1.0,8840.0,0.0,0.0,0.1,0.0,0.0,1.5078161951573024,0.5
14,1.0,9520.0,0.0,0.0,0.1,0.0,0.0,5.217296832246363,0.5
15,1.0,10200.0,0.0,0.0,0.1,0.0,0.0,6.126761087512263,0.5
16,1.0,10880.0,0.0,0.0,0.1,0.0,0.0,3.552386014351544,0.5
17,1.0,11560.0,0.0,0.0,0.1,0.0,0.0,4.094818092385758,0.5
18,1.0,12240.0,0.0,0.0,0.1,0.0,0.0,5.219539450547282,0.5
19,1.0,12920.0,0.0,0.0,0.1,0.0,0.0,1.7089792848289338,0.5
20,1.0,13600.0,0.0,0.0,0.1,0.0,0.0,1.8340523527875472,0.5
21,1.0,14280.0,0.0,0.0,0.1,0.0,0.0,3.330192818626586,0.5
22,1.0,14960.0,0.0,0.0,0.1,0.0,0.0,4.680092915936706,0.5
23,1.0,15640.0,0.0,0.0,0.1,0.0,0.0,5.175298692400494,0.5
24,1.0,16320.0,0.0,0.0,0.1,0.0,0.0,1.777648945619547,0.5
25,1.0,17000.0,0.0,0.0,0.1,0.0,0.0,5.612425502383107,0.5
26,1.0,17680.0,0.0,0.0,0.1,0.0,0.0,4.407918978769957,0.5
27,1.0,18360.0,0.0,0.0,0.1,0.0,0.0,2.1582428564578326,0.5
28,1.0,19040.0,0.0,0.0,0.1,0.0,0.0,2.4372897598752323,0.5
29,1.0,19720.0,0.0,0.0,0.1,0.0,0.0,1.6579555588055799,0.5
30,1.0,20400.0,0.0,0.0,0.1,0.0,0.0,4.157591567524424,0.5
31,1.0,21080.0,0.0,0.0,0.1,0.0,0.0,1.3948062735002253,0.5
32,1.0,21760.0,0.0,0.0,0.1,0.0,0.0,2.669976780511132,0.5
33,1.0,22440.0,0.0,0.0,0.1,0.0,0.0,3.998698294574762,0.5
34,1.0,23120.0,0.0,0.0,0.1,0.0,0.0,4.08116142900474,0.5
35,1.0,23800.0,0.0,0.0,0.1,0.0,0.0,0.23767263205050299,0.5
36,1.0,24480.0,0.0,0.0,0.1,0.0,0.0,3.2887650355798987,0.5
37,1.0,25160.0,0.0,0.0,0.1,0.0,0.0,6.263751085320753,0.5
38,1.0,25840.0,0.0,0.0,0.1,0.0,0.0,6.208032505234987,0.5
39,1.0,26520.0,0.0,0.0,0.1,0.0,0.0,5.795153429867441,0.5
40,1.0,27200.0,0.0,0.0,0.1,0.0,0.0,3.8557837251122584,0.5
41,1.0,27880.0,0.0,0.0,0.1,0.0,0.0,0.39899130520300663,0.5
42,1.0,28560.0,0.0,0.0,0.1,0.0,0.0,3.509487219421195,0.5
43,1.0,29240.0,0.0,0.0,0.1,0.0,0.0,4.0681882417601285,0.5
44,1.0,29920.0,0.0,0.0,0.1,0.0,0.0,3.6662477279944987,0.5
